Journee;TeamHome;HomeDom;GoalsDom;WinOrLoseDom;PenaltyKickGoalsDom;Opponent;AwayDom;GoalsVisit;WinOrLoseVisit;PenaltyKickGoalsVisit
201708;PSG;Dom;6;W;1;BDX;Visit;2;L;1
201708;ANG;Dom;3;D;0;LYO;Visit;3;D;0
201708;NIC;Dom;2;L;0;MAR;Visit;4;W;0
201708;TRO;Dom;2;W;0;ETI;Visit;1;L;0
201708;MON;Dom;1;D;0;MTP;Visit;1;D;0
201708;NTE;Dom;1;W;0;MET;Visit;0;L;0
201708;DIJ;Dom;1;D;0;STR;Visit;1;D;0
201708;GUI;Dom;1;D;0;TOU;Visit;1;D;0
201708;AMN;Dom;0;ANNULE;0;LIL;Visit;1;ANNULE;0
201708;REN;Dom;0;L;0;CAE;Visit;1;W;0
201709;LYO;Dom;3;W;0;MON;Visit;2;L;0
201709;ETI;Dom;3;W;0;MET;Visit;1;L;0
201709;STR;Dom;3;D;0;MAR;Visit;3;D;0
201709;MTP;Dom;2;W;0;NIC;Visit;0;L;0
201709;GUI;Dom;2;W;0;REN;Visit;0;L;0
201709;LIL;Dom;2;D;0;TRO;Visit;2;D;1
201709;BDX;Dom;1;D;0;NTE;Visit;1;D;0
201709;DIJ;Dom;1;L;0;PSG;Visit;2;W;0
201709;TOU;Dom;1;W;0;AMN;Visit;0;L;0
201709;CAE;Dom;0;L;0;ANG;Visit;2;W;0
201710;MAR;Dom;2;D;0;PSG;Visit;2;D;0
201710;MON;Dom;2;W;1;CAE;Visit;0;L;0
201710;NTE;Dom;2;W;0;GUI;Visit;1;L;0
201710;REN;Dom;1;W;0;LIL;Visit;0;L;0
201710;NIC;Dom;1;L;1;STR;Visit;2;W;0
201710;MET;Dom;1;L;0;DIJ;Visit;2;W;0
201710;AMN;Dom;1;W;0;BDX;Visit;0;L;0
201710;ANG;Dom;0;L;0;TOU;Visit;1;W;0
201710;ETI;Dom;0;L;0;MTP;Visit;1;W;0
201710;TRO;Dom;0;L;0;LYO;Visit;5;W;1
201711;PSG;Dom;3;W;0;NIC;Visit;0;L;0
201711;BDX;Dom;0;L;0;MON;Visit;2;W;0
201711;DIJ;Dom;1;W;0;NTE;Visit;0;L;0
201711;MTP;Dom;0;L;0;REN;Visit;1;W;0
201711;CAE;Dom;1;W;0;TRO;Visit;0;L;0
201711;GUI;Dom;1;D;0;AMN;Visit;1;D;0
201711;STR;Dom;2;D;1;ANG;Visit;2;D;0
201711;LYO;Dom;2;W;0;MET;Visit;0;L;0
201711;TOU;Dom;0;D;0;ETI;Visit;0;D;0
201711;LIL;Dom;0;L;0;MAR;Visit;1;W;0
201712;REN;Dom;1;W;0;BDX;Visit;0;L;0
201712;ANG;Dom;0;L;0;PSG;Visit;5;W;0
201712;MTP;Dom;1;D;0;AMN;Visit;1;D;0
201712;TRO;Dom;3;W;0;STR;Visit;0;L;0
201712;MON;Dom;6;W;1;GUI;Visit;0;L;0
201712;NTE;Dom;2;W;0;TOU;Visit;1;L;0
201712;NIC;Dom;1;W;1;DIJ;Visit;0;L;0
201712;MET;Dom;0;L;0;LIL;Visit;3;W;1
201712;MAR;Dom;5;W;0;CAE;Visit;0;L;0
